DATE,Quarter,FDHBFRBN,FDHBFIN,FYGFDPUN,FDHBATN,Population,GDPD
1980-12-15,Q1 1981,119,138.2,773676,190855,229155,44.943
1981-01-01,Q1 1981,119,138.2,773676,190855,229155,44.943
1981-04-01,Q2 1981,120,136.6,771255,199919,229674,45.834
1981-07-01,Q3 1981,124.3,130.7,789799,208056,230301,46.696
1981-10-01,Q4 1981,131,136.6,825509,203220,230903,47.503
1982-01-01,Q1 1982,126.6,136.1,858888,202411,231395,48.157
1982-04-01,Q2 1982,127,137.2,867916,211714,231906,48.783
1982-07-01,Q3 1982,134.4,140.6,925631,216404,232498,49.475
1982-10-01,Q4 1982,139.3,149.5,987719,209355,233074,49.987
1983-01-01,Q1 1983,136.7,156.2,1043339,201155,233546,50.364
1983-04-01,Q2 1983,141.7,160.1,1090291,229290,234028,50.739
1983-07-01,Q3 1983,155.4,160.1,1138188,239023,234603,51.278
1983-10-01,Q4 1983,151.9,166.3,1174425,236277,235153,51.667
1984-01-01,Q1 1984,150.8,166.3,1223898,239843,235605,52.19
1984-04-01,Q2 1984,152.9,171.6,1255100,257597,236082,52.636
1984-07-01,Q3 1984,155,175.6,1309183,263084,236657,53.104
1984-10-01,Q4 1984,160.9,192.9,1373366,289600,237232,53.501
1985-01-01,Q1 1985,161,199.6,1415232,295499,237673,54.03
1985-04-01,Q2 1985,169.1,213.8,1460484,314156,238176,54.378
1985-07-01,Q3 1985,169.7,222.9,1506558,316545,238789,54.706
1985-10-01,Q4 1985,181.3,224.8,1597083,348859,239387,55.012
1986-01-01,Q1 1986,184.8,232.6,1634259,352557,239861,55.286
1986-04-01,Q2 1986,183.9,250.9,1684939,374410,240368,55.495
1986-07-01,Q3 1986,190.8,265.5,1742445,382859,240962,55.723
1986-10-01,Q4 1986,211.3,263.4,1811744,403091,241539,56.026
1987-01-01,Q1 1987,196.4,272.8,1839271,407453,242009,56.382
1987-04-01,Q2 1987,212.3,281.1,1871150,438146,242520,56.773
1987-07-01,Q3 1987,211.9,279.5,1893110,457167,243120,57.202
1987-10-01,Q4 1987,222.6,299.7,1954065,477650,243721,57.658
1988-01-01,Q1 1988,217.5,332.5,1996711,490840,244208,58.11
1988-04-01,Q2 1988,227.6,345.4,2013414,534242,244716,58.676
1988-07-01,Q3 1988,229.2,345.9,2051735,550448,245354,59.377
1988-10-01,Q4 1988,238.4,362.2,2095179,589213,245966,59.89
1989-01-01,Q1 1989,228.6,373.5,2133419,607479,246460,60.515
1989-04-01,Q2 1989,231.8,366.4,2142122,657801,247017,61.159
1989-07-01,Q3 1989,221.1,391.8,2180726,676705,247698,61.606
1989-10-01,Q4 1989,226.8,426.1,2245171,707823,248374,62.045
1990-01-01,Q1 1990,217.9,445.4,2329264,722694,248936,62.714
1990-04-01,Q2 1990,231.4,451,2368772,774982,249711,63.416
1990-07-01,Q3 1990,234.4,463.8,2437551,795762,250595,63.96
1990-10-01,Q4 1990,235.1,487.1,2536545,828275,251482,64.436
1991-01-01,Q1 1991,241,492,2598351,866838,252258,65.067
1991-04-01,Q2 1991,247.5,502,2642863,895125,253063,65.545
1991-07-01,Q3 1991,258.6,506.3,2745729,919573,253965,66.057
1991-10-01,Q4 1991,266.5,520.9,2833034,968664,254835,66.449
1992-01-01,Q1 1992,265.8,536.4,2917630,963658,255585,66.696
1992-04-01,Q2 1992,276.9,558.2,2976774,1007882,256439,67.097
1992-07-01,Q3 1992,279.7,562.8,3048291,1016330,257386,67.425
1992-10-01,Q4 1992,295,576.7,3129308,1047701,258277,67.889
1993-01-01,Q1 1993,298.5,585.9,3187556,1043024,259039,68.27
1993-04-01,Q2 1993,313.1,596.8,3252285,1099665,259826,68.676
1993-07-01,Q3 1993,319.4,619.1,3294796,1116693,260714,69.084
1993-10-01,Q4 1993,332,650.3,3382197,1153490,261547,69.461
1994-01-01,Q1 1994,337.3,661.1,3434208,1141661,262250,69.793
1994-04-01,Q2 1994,347.6,659.9,3442868,1202934,263020,70.13
1994-07-01,Q3 1994,353,682,3479652,1213098,263870,70.532
1994-10-01,Q4 1994,364.5,667.3,3543118,1257032,264678,70.915
1995-01-01,Q1 1995,363.7,707,3609459,1254657,265388,71.3
1995-04-01,Q2 1995,372.6,762.5,3634808,1316564,266142,71.642
1995-07-01,Q3 1995,367.7,820.4,3653199,1320784,267000,71.995
1995-10-01,Q4 1995,378.2,835.2,3684209,1304456,267820,72.342
1996-01-01,Q1 1996,377.1,908.1,3764019,1353767,268487,72.69
1996-04-01,Q2 1996,383.9,929.7,3738633,1422443,269251,72.991
1996-07-01,Q3 1996,383.9,993.4,3777808,1447003,270128,73.23
1996-10-01,Q4 1996,390.9,1102.1,3825994,1497178,270991,73.621
1997-01-01,Q1 1997,395.1,1157.6,3874106,1506784,271709,74.06
1997-04-01,Q2 1997,410.9,1182.7,3804568,1571583,272487,74.21
1997-07-01,Q3 1997,411.8,1230.5,3816381,1596765,273391,74.532
1997-10-01,Q4 1997,430.7,1241.6,3846706,1655682,274246,74.777
1998-01-01,Q1 1998,433.2,1250.5,3872048,1670378,274950,74.887
1998-04-01,Q2 1998,439.8,1256,3790379,1757556,275703,75.063
1998-07-01,Q3 1998,446,1224.2,3762333,1763860,276564,75.386
1998-10-01,Q4 1998,452.1,1278.7,3787391,1826826,277400,75.593
1999-01-01,Q1 1999,465.7,1272.3,3794549,1857066,278103,75.835
1999-04-01,Q2 1999,484.9,1258.8,3685167,1953613,278864,76.122
1999-07-01,Q3 1999,489,1281.4,3667597,1988674,279751,76.393
1999-10-01,Q4 1999,478,1268.7,3715531,2060560,280592,76.815
2000-01-01,Q1 2000,501.7,1085,3687974,2085418,281304,77.325
2000-04-01,Q2 2000,504.9,1060.7,3495713,2190225,282002,77.807
2000-07-01,Q3 2000,511.4,1038.8,3438416,2235712,282769,78.263
2000-10-01,Q4 2000,511.7,1015.2,3413541,2248675,283518,78.688
2001-01-01,Q1 2001,523.9,1012.5,3434386,2339354,284169,79.204
2001-04-01,Q2 2001,535.1,983.3,3274176,2452639,284838,79.683
2001-07-01,Q3 2001,534.1,992.2,3338707,2468757,285584,79.996
2001-10-01,Q4 2001,551.7,1040.1,3393758,2549681,286311,80.245
2002-01-01,Q1 2002,575.4,1057.2,3443674,2562358,286935,80.504
2002-04-01,Q2 2002,590.7,1123.1,3463544,2662925,287574,80.783
2002-07-01,Q3 2002,604.2,1188.6,3552588,2675648,288303,81.172
2002-10-01,Q4 2002,629.4,1235.6,3647385,2758322,289007,81.638
2003-01-01,Q1 2003,641.5,1275.2,3710779,2749997,289609,82.045
2003-04-01,Q2 2003,652.1,1371.9,3816279,2853842,290253,82.328
2003-07-01,Q3 2003,656.1,1443.3,3924045,2859275,290974,82.796
2003-10-01,Q4 2003,666.7,1523.1,4044054,2953910,291669,83.306
2004-01-01,Q1 2004,674.1,1670,4176667,2954401,292237,83.895
2004-04-01,Q2 2004,687.4,1735.4,4218734,3055601,292875,84.569
2004-07-01,Q3 2004,700.3,1794.5,4303366,3075687,293603,85.112
2004-10-01,Q4 2004,717.8,1849.3,4406352,3189791,294334,85.77
2005-01-01,Q1 2005,717.3,1952,4572397,3204543,294957,86.453
2005-04-01,Q2 2005,724.7,1878,4527630,3308866,295588,87.082
2005-07-01,Q3 2005,736.4,1930,4601378,3331332,296340,87.874
2005-10-01,Q4 2005,744.2,2034,4714607,3455806,297086,88.585
2006-01-01,Q1 2006,758.5,2082.1,4872804,3498352,297736,89.209
2006-04-01,Q2 2006,766.4,1977.8,4797450,3622592,298408,90
2006-07-01,Q3 2006,768.9,2025.3,4843208,3663766,299180,90.628
2006-10-01,Q4 2006,778.9,2103.1,4901208,3779016,299946,90.967
2007-01-01,Q1 2007,780.9,2194.8,5054278,3795387,300609,91.839
2007-04-01,Q2 2007,790.5,2192,4943033,3924644,301284,92.453
2007-07-01,Q3 2007,779.6,2235.3,5049242,3958411,302062,92.933
2007-10-01,Q4 2007,740.6,2353.2,5136288,4092884,302829,93.327
2008-01-01,Q1 2008,591.2,2506.3,5334048,4103546,303494,93.655
2008-04-01,Q2 2008,478.8,2587.4,5285025,4206981,304160,94.13
2008-07-01,Q3 2008,476.6,2802.4,5814240,4210485,304902,94.84
2008-10-01,Q4 2008,475.9,3077.2,6372651,4327154,305616,95.065
2009-01-01,Q1 2009,492.3,3265.7,6836338,4290603,306237,95.018
2009-04-01,Q2 2009,656.5,3460.8,7176464,4368811,306866,94.852
2009-07-01,Q3 2009,769.2,3570.6,7554537,4355291,307573,94.954
2009-10-01,Q4 2009,776.6,3685.1,7814359,4496990,308285,95.267
2010-01-01,Q1 2010,776.7,3877.9,8294251,4478872,308901,95.526
2010-04-01,Q2 2010,777,4070,8639220,4562572,309460,95.992
2010-07-01,Q3 2010,811.7,4324.2,9027611,4534011,310062,96.282
2010-10-01,Q4 2010,1021.5,4435.6,9395411,4629804,310675,96.846
2011-01-01,Q1 2011,1340.4,4481.4,9656573,4613541,311176,97.346
2011-04-01,Q2 2011,1619.5,4690.6,9746879,4596208,311684,97.989
2011-07-01,Q3 2011,1664.7,4912.1,10132039,4658307,312293,98.595
2011-10-01,Q4 2011,1663.4,5006.9,10452503,4770443,312887,98.714
2012-01-01,Q1 2012,1661.1,5145.1,10876394,4730118,313385,99.313
2012-04-01,Q2 2012,1659.9,5310.9,11048217,4806820,313888,99.713
2012-07-01,Q3 2012,1645.3,5476.1,11274396,4791850,314488,100.23
2012-10-01,Q4 2012,1666.1,5573.8,11586560,4846174,315085,100.738
2013-01-01,Q1 2013,1796,5725,11922454,4848930,315539,101.141
2013-04-01,Q2 2013,1936.6,5595,11906573,4831752,316020,101.428
2013-07-01,Q3 2013,2072.3,5652.8,11980978,4757211,316626,101.906
2013-10-01,Q4 2013,2208.8,5792.6,12355194,4996782,317244,102.515
2014-01-01,Q1 2014,2614.6,5948.3,12643201,4982034,317760,102.942
2014-04-01,Q2 2014,2705.9,6018.7,12572021,5060585,318287,103.525
2014-07-01,Q3 2014,2767.3,6069.2,12784809,5039262,318921,103.977
2014-10-01,Q4 2014,2793.4,6157.7,13023818,5117626,319557,104.15
2015-01-01,Q1 2015,2797.5,6172.6,13090183,5061873,320058,104.113
2015-04-01,Q2 2015,2798.5,6163.1,13075036,5076962,320578,104.677
2015-07-01,Q3 2015,2802.1,6105.9,13123756,5026862,321205,104.989
2015-10-01,Q4 2015,2810.1,6146.2,13699868,5222311,321831,104.979
2016-01-01,Q1 2016,2815.3,6284.4,13929762,5335177,322354,104.895
2016-04-01,Q2 2016,2819.1,6279.1,13937309,5444282,322871,105.636
2016-07-01,Q3 2016,2830.1,6155.9,14177750,5395695,323473,105.929
2016-10-01,Q4 2016,2843.7,6006.3,14439326,5537501,324048,106.487
2017-01-01,Q1 2017,2859.131,6075.3,14374457,5471963,324496,107.025
2017-04-01,Q2 2017,2864.091,6151.9,14370898,5473656,324948,107.369
2017-07-01,Q3 2017,2867.555,6301.9,14681827,5563073,325475,107.903
2017-10-01,Q4 2017,2858.136,6211.3,14823106,5669641,325963,108.67
2018-01-01,Q1 2018,2828.463,6223.4,15436782,5652861,326325,109.261
2018-04-01,Q2 2018,2772.949,6225,15483548,5711522,326703,110.234
2018-07-01,Q3 2018,2697.86,6225.9,15778806,5737252,327167,110.597
2018-10-01,Q4 2018,2594.652,6270.1,16120742,5853354,327602,111.175
2019-01-01,Q1 2019,2536.673,6474,16223851,5804029,327923,111.514
2019-04-01,Q2 2019,2452.784,6625.9,16204719,5818564,328270,112.152
2019-07-01,Q3 2019,2436.438,6923.5,16825978,5893424,328730,112.517
2019-10-01,Q4 2019,2637.32,6844.2,17187392,6013988,329186,112.978
2020-01-01,Q1 2020,3559.553,6949.5,17228778,5995035,329529,113.346
2020-04-01,Q2 2020,4615.353,7052.1,20548375,5928866,329898,112.859
2020-07-01,Q3 2020,4872.973,7069.2,21037627,5907764,330368,113.888
2020-10-01,Q4 2020,5127.835,7070.8,21651416,6096382,330815,114.439
2021-01-01,Q1 2021,5401.362,7028.4,22006863,6125707,331011,115.652
2021-04-01,Q2 2021,5644.351,7497.2,22353532,6175904,331209,117.413
2021-07-01,Q3 2021,5911.599,7549.1,22303879,6123040,331507,119.095