geo,value
Japan,1304
China,1068.7
United Kingdom,647.4
Ireland,334.3
Luxembourg,323.5
Switzerland,288
Belgium,271.7
Cayman Islands,261.9
Taiwan,251
Brazil,244.5
Hong Kong,225.7
France,224.4
Canada,202
India,198.9
Singapore,189.4
South Korea,131.2
Saudi Arabia,119
Norway,97.6
Germany,83.4
Bermuda,71.9
Israel,69.1
Netherlands,68.1
Thailand,62.2
Australia,53.5
Philippines,48.6
Kuwait,46.4
Mexico,46.2
UAE,44.8
Vietnam,43
Italy,42.4
Poland,42.2
Sweden,40.3
Chile,35.8
Bahamas,34.9
Colombia,33.1