Date,Year,Debt Held by the Public,Federal Employee and Veteran Benefit Liabilities,Social Security Liabilities,Medicare Liabilities,Pop,local_debt_outstanding,state_debt_outstanding,pension_debt,GDPD
12/25/99,1999,3409.9,2764.7,3845,9193,282398,903939398,547875824,717447,78.025
1/1/00,2000,3409.9,2764.7,3845,9193,282398,903939398,547875824,717447,78.025
1/1/01,2001,3319.8,3360.8,4207,12814,285225,977524377,576493534,1047804,79.783
1/1/02,2002,3573.2,3589.4,4562,13251,287955,1044581731,636795733,1444877,81.026
1/1/03,2003,3944.9,3880,4927,15819,290626,1114737677,697929028,1344536,82.625
1/1/04,2004,4329.4,4062.1,5229,28051,293262,1197045814,779542249,1416936,84.843
1/1/05,2005,4624.2,4491.8,5704,29899,295993,1274174036,810851720,1596432,87.504
1/1/06,2006,4867.5,4679,6449,32305,298818,1333984054,870031903,1543042,90.204
1/1/07,2007,5077.7,4769.1,6763,34085,301696,1474774645,936523700,1629817,92.642
1/1/08,2008,5836.2,5318.9,6555,36312,304543,1546753348,1004180935,2695341,94.419
1/1/09,2009,7582.7,5283.7,7677,38107,307240,1664562818,1048655489,2617191,95.024
1/1/10,2010,9060,5720.3,7947,22813,309839,1728727112,1115462639,2854805,96.166
1/1/11,2011,10174.1,5792.2,9157,24572,312295,1783473905,1139664136,3131852,98.164
1/1/12,2012,11332.3,6274,11278,27174,314725,1803747989,1146720479,3000985,100
1/1/13,2013,12028.4,6538.3,12294,27302,317099,1831342336,1138643440,3533384,101.751
1/1/14,2014,12833.6,6672.6,13330,28483,319601,1827729716,1152281859,3722699,103.654
1/1/15,2015,13172.5,6772.4,13440,27940,322113,1833349837,1155113383,4075347,104.691
1/1/16,2016,14221.1,7209.4,14100,32500,324609,1851876765,1170611576,4221631,105.74
1/1/17,2017,14673.4,7700.1,15400,33500,326860,1904677906,1156627748,4015608,107.747
1/1/18,2018,15812.7,7982.3,16200,37700,328794,1958753531,1173489819,4488927,110.321
1/1/19,2019,16861,8440.3,16800,42200,330513,1995950096,1174375288,4157580,112.294
1/1/20,2020,21082.9,9415.5,19700,45700,331761,2039860998,1200211544,4037031,113.648
1/1/21,2021,22344.8,10183,22700,48200,332213,2090763689,1230161623,3844210,118.371
,,,,,,,,,,